sourceID,reportingCompany,reportingCountry,sourceURL,format,startDate,endDate,sourcePublishDate
17fa955358176929818e355645140e46-a7799010ef71358425c1d759c16818ec-2fa6df5d20237d4b56c05d84d66ce5a9-55f58d85779693829cc113a6966e8775,Apache North Sea Production Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report17fa955358176929818e355645140e46-a7799010ef71358425c1d759c16818ec-2fa6df5d20237d4b56c05d84d66ce5a9-55f58d85779693829cc113a6966e8775,.zip,01-01-2015,12-31-2015,01-17-2017
7ff002cacfd1f5e356980c9253434e89,Atico Mining Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-7ff002cacfd1f5e356980c9253434e89,.pdf,01-01-2018,12-31-2018,06-01-2019
d25ad978aa4c2ecb391eb20237151d13,Azimut Exploration Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportd25ad978aa4c2ecb391eb20237151d13,.pdf,09-01-2016,08-31-2017,01-15-2018
8c4781700a4b9303fca4d1ce4ffda538,B2Gold Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-8c4781700a4b9303fca4d1ce4ffda538,.pdf,01-01-2018,12-31-2018,05-23-2019
90fbe5ac50886a323242e58c6943a763,Baccalieu Energy Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report90fbe5ac50886a323242e58c6943a763,.html,01-01-2016,12-31-2016,05-26-2017
a3eb063f907d79625309394d58b168df,BlackPearl Resources Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-a3eb063f907d79625309394d58b168df,.pdf,01-01-2017,12-31-2017,05-30-2018
7aeaf86a050577733d55a9d7cb1225d9,Bouygues S.A.,France,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report7aeaf86a050577733d55a9d7cb1225d9,.pdf,01-01-2017,12-31-2017,02-21-2018
d5dc0c7ccc4dfb883e159fbddb7caf38,Caltex Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-d5dc0c7ccc4dfb883e159fbddb7caf38,.pdf,01-01-2018,12-31-2018,05-28-2019
3d9c5f836da00d00a70f5194201ccb07,Cardinal Energy Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report3d9c5f836da00d00a70f5194201ccb07,.pdf,01-01-2016,12-31-2016,05-30-2017
f6df5e367875a1f787746620f4aa37be-ea98e60314c11e9ab9acde5e8185412a-b1483c8e70caa4e323542e34a805bbed-391947c930f685153ff270fbbb232ea0,Abu Dhabi Marine Areas Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-f6df5e367875a1f787746620f4aa37be-ea98e60314c11e9ab9acde5e8185412a-b1483c8e70caa4e323542e34a805bbed-391947c930f685153ff270fbbb232ea0,.zip,01-01-2017,12-31-2017,09-20-2018
2c439f84de23322490feedb54fa669b9,Alio Gold Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report2c439f84de23322490feedb54fa669b9,.pdf,01-01-2016,12-31-2016,05-26-2017
e8d919913aa6854263bed78df643ded9,Mosaic I (Canada) Holdings ULC,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-e8d919913aa6854263bed78df643ded9,.xlsx,01-01-2018,12-31-2018,05-30-2019
b2e0540700be093763ad61b883dab990,Aguia Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportb2e0540700be093763ad61b883dab990,.pdf,07-01-2016,06-30-2017,11-27-2017
7852aa09e2fd4f789e083ad925fb355e,Alvopetro Energy Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-7852aa09e2fd4f789e083ad925fb355e,.pdf,01-01-2018,12-31-2018,05-28-2019
378c22515f131cd93d227e307a4f33e4-28b118b588b824a022a5103d7c62d369-8703a432790432f9033ffd202df59155-cf533f410a80139922d753fc765d6c29,Anglo Asian Mining Plc,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report378c22515f131cd93d227e307a4f33e4-28b118b588b824a022a5103d7c62d369-8703a432790432f9033ffd202df59155-cf533f410a80139922d753fc765d6c29,.zip,01-01-2015,12-31-2015,11-09-2016
021dcaa3940e7d9a2228713c2a2e0b26-8037ff1faf70918bcec09508f4e8eb47-b6b443ab278ff436371f0ff2cb55ca21-3557a88ed3ab06ebb41b45947688f1e0,Apache North Sea Production Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-021dcaa3940e7d9a2228713c2a2e0b26-8037ff1faf70918bcec09508f4e8eb47-b6b443ab278ff436371f0ff2cb55ca21-3557a88ed3ab06ebb41b45947688f1e0,.zip,01-01-2016,12-31-2016,05-03-2018
f17d491cf7c89825ac9f7f853168b927,Argonaut Gold Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-f17d491cf7c89825ac9f7f853168b927,.pdf,01-01-2016,12-31-2016,06-29-2018
7fb31fc4de5d197c0b24718230b5c2cc,Arizona Mining Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report7fb31fc4de5d197c0b24718230b5c2cc,.pdf,01-01-2017,12-31-2017,05-29-2018
e6af6f7538b39455db52fe7cb7984d45,ATCO Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporte6af6f7538b39455db52fe7cb7984d45,.pdf,01-01-2016,12-31-2016,05-29-2017
